nsd_id,caption,true_captions
46002,a group of animals in a field,"['White cows eating grass under trees and the sky', 'White cows eating grass under trees and the sky', 'Many cows in a pasture with trees eating grass.', 'Many cows in a pasture with trees eating grass.', 'A herd of cows graze on a field of sparse grass.', 'A herd of cows graze on a field of sparse grass.', 'a herd of white cows grazing on brush among the trees', 'a herd of white cows grazing on brush among the trees', 'A herd of mostly white cows in a field with some trees.', 'A herd of mostly white cows in a field with some trees.']"
48617,a train sitting on a track with a plane in the background,"['A plane on the runway under cloudy skies.', 'A plane on the runway under cloudy skies.', 'Airplane boards on an extremely dark and gloomy day.', 'Airplane boards on an extremely dark and gloomy day.', 'There is a plane pulled into a port under the clouds.', 'There is a plane pulled into a port under the clouds.', 'An American Airlines airplane is preparing for take off. ', 'An American Airlines airplane is preparing for take off. ', 'An airplane sits at the airport waiting to be loaded.', 'An airplane sits at the airport waiting to be loaded.']"
44980,a person standing on a beach with a plane,"['A passenger jet coming in for a landing over a big city.', 'A passenger jet coming in for a landing over a big city.', 'An aeroplane flying in the sky over the buildings at sunset.', 'An aeroplane flying in the sky over the buildings at sunset.', 'An airplane flying in the air above a city.', 'An airplane flying in the air above a city.', 'an airplane flying about many tall buildings and cars ', 'an airplane flying about many tall buildings and cars ', 'A blue jet airliner flying over a city.', 'A blue jet airliner flying over a city.']"
32625,a bathroom with a sink and a window,"['white galley kitchen with messy counters and sunny window', 'white galley kitchen with messy counters and sunny window', 'Kitchen with modern appliances and white cabinets in home setting.', 'Kitchen with modern appliances and white cabinets in home setting.', 'The kitchen has white cabinets and a window looking out. ', 'The kitchen has white cabinets and a window looking out. ', 'A view of  a kitchen in the middle of day.', 'A view of  a kitchen in the middle of day.', 'A large galley kitchen with tile floors ', 'A large galley kitchen with tile floors ']"
53052,a street with a bunch of buildings and a bunch of street signs,"['A clock in front of an abstract design.', 'A clock in front of an abstract design.', 'a clock in the center of a tiled star pattern', 'a clock in the center of a tiled star pattern', 'A clock mounted to an orange and blue wall.', 'A clock mounted to an orange and blue wall.', 'A clock on a busy brown and white background.', 'A clock on a busy brown and white background.', 'A clock on a brightly colored and patterned tile wall.', 'A clock on a brightly colored and patterned tile wall.']"
4930,a boat on a lake with a sign on it,"['A couple of white boats on the water.', 'A couple of white boats on the water.', 'three boats anchored to a boat dock on a body of water ', 'three boats anchored to a boat dock on a body of water ', 'Multiple white boats in a harbor next to dock.', 'Multiple white boats in a harbor next to dock.', 'Boats on the water near a heavily wooded area.', 'Boats on the water near a heavily wooded area.', 'there are many boats docked in the water', 'there are many boats docked in the water']"
6431,a man holding a bat,"['A baseball player holding a bat next to home plate.', 'A baseball player holding a bat next to home plate.', 'Baseball field with batter and umpire on home plate.', 'Baseball field with batter and umpire on home plate.', 'An umpire, catcher and batter wait for a pitch.', 'An umpire, catcher and batter wait for a pitch.', 'A baseball player prepares to swing the bat to hit the ball. ', 'A baseball player prepares to swing the bat to hit the ball. ', 'There is a baseball game on and a player is at bat', 'There is a baseball game on and a player is at bat']"
70335,a group of people standing around a bunch of trees,"['A group of three giraffes standing in the zoo. ', 'A group of three giraffes standing in the zoo. ', 'A herd of giraffe standing around a dirt field.', 'A herd of giraffe standing around a dirt field.', 'a couple of giraffes that are standing next to each other', 'a couple of giraffes that are standing next to each other', 'Three very different giraffes at a big zoo ', 'Three very different giraffes at a big zoo ', 'There is no image on the screen to describe.', 'There is no image on the screen to describe.']"
36576,a view of a building with a clock on it,"['a tower with a clock is on top if a building', 'a tower with a clock is on top if a building', 'there is a very large building that has a clock at the top of it', 'there is a very large building that has a clock at the top of it', 'A large building with two large clock towers sticking out of it.', 'A large building with two large clock towers sticking out of it.', 'A building with two towers along a canal.', 'A building with two towers along a canal.', 'A river runs by a large office building with two clock towers.', 'A river runs by a large office building with two clock towers.']"
57046,a bathroom with a sink and a white toilet,"['A toilet with a couple of floor mats near them.', 'A toilet with a couple of floor mats near them.', 'a toilet and a sink in some kind of small room', 'a toilet and a sink in some kind of small room', 'A bathroom with bath mats that match the shower curtain.', 'A bathroom with bath mats that match the shower curtain.', 'A bathroom is shown with black and white decor.', 'A bathroom is shown with black and white decor.', 'A clean bathroom with a nice shower curtain and toilet', 'A clean bathroom with a nice shower curtain and toilet']"
7659,a person sitting on a couch with a phone,"['A person holding a remote control in their hand.', 'A person holding a remote control in their hand.', 'a person is holding a remote with a blanket over them.', 'a person is holding a remote with a blanket over them.', 'a person about to hit a button on a remote control', 'a person about to hit a button on a remote control', 'A person holding a remote as it rests on a blanket.', 'A person holding a remote as it rests on a blanket.', 'Someone is holding a grey remote control near a blanket.', 'Someone is holding a grey remote control near a blanket.']"
